,S,call,put
114,22987.951807228914,163.70523793895882,1047.8761467881886
115,23084.33734939759,188.09931815500113,975.8846848355606
116,23180.722891566264,215.0524773861116,906.4523018979962
117,23277.10843373494,244.67703349755266,839.6913158407624
118,23373.493975903613,277.0717526013732,775.7004927759062
119,23469.87951807229,312.3202471656241,714.5634451714832
120,23566.265060240963,350.4896417432301,656.3472975804125
121,23662.650602409638,391.62954158107823,601.1016552495839
122,23759.036144578313,435.77132967653415,548.8579011763686
123,23855.421686746988,482.9278073255191,499.62883665667505
124,23951.807228915663,533.0931823296032,453.4086694920843
125,24048.192771084337,586.2433982775419,410.17334327134995
126,24144.578313253012,642.336788143768,369.88119096890114
127,24240.963855421687,701.3150262595445,332.4738869160028
128,24337.349397590362,763.1043448514574,297.877663339239
129,24433.734939759037,827.6169750649406,266.0047513840491
130,24530.12048192771,894.7527678657098,236.7550020161425
131,24626.506024096387,964.4009475145649,210.01763949632277
132,24722.89156626506,1036.441949426593,185.67309923967605
133,24819.277108433736,1110.7492950572414,163.59490270165134
134,24915.66265060241,1187.1914588383443,143.65152431407842
135,25012.048192771086,1265.6336858941504,125.7082092012115
136,25108.43373493976,1345.9397240390608,109.6287051774475
137,25204.819277108436,1427.9734391112506,95.27687808096198
138,25301.20481927711,1511.6002887398827,82.51818554091733
139,25397.590361445786,1596.6886358974698,71.22099052982821
140,25493.97590361446,1683.110889794214,61.25770225789756
141,25590.361445783135,1770.7444676006671,52.50573789567807
142,25686.74698795181,1859.4725759500507,44.84830407638583
143,25783.132530120485,1949.184816026609,38.1750019842716
144,25879.518072289156,2039.7776201899287,32.38226397891958
145,25975.90361445783,2131.1545314581635,27.373633078475905
146,26072.289156626506,2223.2263397574716,23.059899209110654
147,26168.67469879518,2315.911090656038,19.35910793900348
148,26265.060240963856,2409.133983384032,16.196458498323295
149,26361.44578313253,2502.827175363931,13.504108309547291
150,26457.831325301206,2596.92951032193,11.220901098868353
151,26554.21686746988,2691.386186414733,9.292035022995037
152,26650.602409638555,2786.1483797843794,7.668686223968734
153,26746.98795180723,2881.172837643524,6.307601914441136
154,26843.373493975905,2976.4214534866915,5.170675588932227
155,26939.759036144576,3071.860835403022,4.224515336589434
156,27036.14457831325,3167.4618768063738,3.440014571263106
157,27132.530120481926,3263.199337261005,2.791932857225845
158,27228.9156626506,3359.0514395158134,2.2584929433575667
159,27325.301204819276,3454.999487404206,1.8209986630753576
160,27421.68674698795,3551.027507948267,1.463477038465271
161,27518.072289156626,3647.121919840003,1.1723467615215952
162,27614.4578313253,3743.2712294681296,0.9361142209746092
163,27710.843373493975,3839.4657548160612,0.7450974002289001
164,27807.22891566265,3935.6973768695025,0.5911772849986932
165,27903.614457831325,4031.9593176315284,0.4675758783536814
166,28000.0,4128.2459434348675,0.3686595130081223
167,28096.385542168675,4224.5525919513275,0.28976586080128897
168,28192.77108433735,4320.875421110675,0.22705285146954068
169,28289.156626506025,4417.211278038845,0.17736761096669085
170,28385.5421686747,4513.557586094779,0.13813349822696175
171,28481.927710843374,4609.91224810914,0.10725334391238128
172,28578.31325301205,4706.273563996088,0.0830270621857041
173,28674.698795180724,4802.640161007879,0.06408190529847158
174,28771.0843373494,4899.010935022041,0.049313750786979416
175,28867.469879518074,4995.385001383875,0.03783794394738127
176,28963.85542168675,5091.761653965783,0.02894835717953459
177,29060.240963855424,5188.140331244613,0.02208346733315003
178,29156.6265060241,5284.520588334184,0.016798388231073158
179,29253.012048192773,5380.902074039692,0.012741925062017545
180,29349.39759036145,5477.284512121572,0.00963783826617326
181,29445.783132530123,5573.66768606758,0.007269615599186929
182,29542.168674698794,5670.051426772257,0.00546815160819264
183,29638.55421686747,5766.435602612957,0.004101823636784296
184,29734.939759036144,5862.820111490917,0.0030685329169532483
185,29831.32530120482,5959.204874475472,0.002289348796232049
186,29927.710843373494,6055.589830749712,0.0017034543602465202
187,30024.09638554217,6151.974933607449,0.0012641434270606322
188,30120.481927710844,6248.360147295647,0.0009356629462929922
189,30216.86746987952,6344.7454445334515,0.0006907320799442174
190,30313.253012048193,6441.130804570548,0.0005086004990029758
191,30409.63855421687,6537.516211673206,0.0003735344827017553
192,30506.024096385543,6633.901653948378,0.00027364098063764955
193,30602.409638554218,6730.287122433623,0.00019995755070007643
194,30698.795180722893,6826.672610395355,0.00014575060726772747
195,30795.180722891568,6923.058112789644,0.0001059762244388189
196,30891.566265060243,7019.443625849388,7.68672913082618e-05
197,30987.951807228917,7115.8291467692725,5.5618501040082154e-05
198,31084.337349397592,7212.214673466253,4.014680598600929e-05
199,31180.722891566267,7308.600204397993,2.8909869109821143e-05
200,31277.108433734942,7404.985738425723,2.0768923685262827e-05
201,31373.493975903617,7501.371274710989,1.488551506731244e-05
202,31469.879518072292,7597.756812638152,1.0644002425405554e-05
203,31566.265060240963,7694.142351756393,7.593577578401739e-06
204,31662.650602409638,7790.52789173651,5.405020694152873e-06
205,31759.036144578313,7886.913432338712,3.838546166353774e-06
206,31855.421686746988,7983.29897338881,2.7199668702466116e-06
207,31951.807228915663,8079.684514760593,1.9230775272479695e-06
208,32048.192771084337,8176.070056362863,1.3566728445302463e-06
209,32144.578313253012,8272.455598129876,9.550088468484994e-07
210,32240.963855421687,8368.841140014356,6.708142455307469e-07
211,32337.349397590362,8465.226681982404,4.701846079678562e-07
212,32433.734939759037,8561.612224009757,3.2886249763407124e-07
213,32530.12048192771,8657.997766079105,2.295348330934393e-07
214,32626.506024096387,8754.383308178116,1.598746430136986e-07
215,32722.89156626506,8850.768850298042,1.1112599722135157e-07
