,S,call_Delta,call_Gamma,call_Vega,call_Theta,call_Rho,put_Delta,put_Gamma,put_Vega,put_Theta,put_Rho
88,20481.927710843374,0.0016287861076209915,4.976775965119969e-06,30.88806086004181,-35.959171828255954,2.7018906467989465,-0.998371213892379,4.976775965119969e-06,30.88806086004181,1515.7288047168236,-1959.3903873870213
89,20578.31325301205,0.0021767148035530797,6.447127678929834e-06,40.39119612890355,-47.09636662961836,3.6265629527531678,-0.9978232851964469,6.447127678929834e-06,40.39119612890355,1504.5916099154608,-1958.4657150810667
90,20674.698795180724,0.002883038286197879,8.273507498856096e-06,52.32014543207799,-61.10564203234951,4.824129969514144,-0.9971169617138022,8.273507498856096e-06,52.32014543207799,1490.5823345127299,-1957.268148064306
91,20771.0843373494,0.0037850665797211787,1.051896299398981e-05,67.14167335274347,-78.55034928708042,6.360653697567544,-0.9962149334202788,1.051896299398981e-05,67.14167335274347,1473.137627257999,-1955.7316243362525
92,20867.469879518074,0.0049264397097131115,1.3251645244013197e-05,85.37098395471594,-100.05614847501909,8.31391491414771,-0.9950735602902869,1.3251645244013197e-05,85.37098395471594,1451.6318280700602,-1953.7783631196723
93,20963.85542168675,0.006357570262968823,1.6543718650207954e-05,107.56632788065781,-126.30586352503417,10.774374494053381,-0.9936424297370312,1.6543718650207954e-05,107.56632788065781,1425.3821130200452,-1951.3179035397668
94,21060.240963855424,0.008135961315340206,2.0469861590494395e-05,134.320553685423,-158.0308347907406,13.845936992879773,-0.9918640386846598,2.0469861590494395e-05,134.320553685423,1393.6571417543387,-1948.2463410409403
95,21156.6265060241,0.010326359609647133,2.5105347116566503e-05,166.24935316087257,-195.99843544142155,17.646440965563006,-0.9896736403903529,2.5105347116566503e-05,166.24935316087257,1355.689541103658,-1944.445837068257
96,21253.012048192773,0.013000703852005368,3.052371483906957e-05,203.97608870099307,-240.99556757383098,22.307798246040335,-0.9869992961479946,3.052371483906957e-05,203.97608870099307,1310.6924089712484,-1939.7844797877797
97,21349.39759036145,0.01623783026200482,3.679407034379749e-05,248.11326285173809,-293.80814377681463,27.975706159108196,-0.9837621697379951,3.679407034379749e-05,248.11326285173809,1257.8798327682648,-1934.116571874712
