,S,quantum,black_scholes,finite_difference
78,17592.37544897602,6279.747267389852,6279.747267383576,6279.747298413082
79,17703.106007910286,6169.016708778594,6169.016708765746,6169.016768589828
80,17814.53353109008,6057.58918626632,6057.589186240399,6057.589274704275
81,17926.6624053727,5945.460313343519,5945.460313291969,5945.460429900285
82,18039.49704522737,5832.625676219487,5832.625676118463,5832.625872150379
83,18153.041892908946,5719.08083394311,5719.080833748143,5719.081205074234
84,18267.301418632967,5604.821318766474,5604.821318395734,5604.821861092418
85,18382.280120751544,5489.842636937171,5489.842636242538,5489.843341859974
86,18497.982525930493,5374.14027023377,5374.140268951407,5374.1414578409685
87,18614.413189327446,5257.709678766339,5257.7096764338785,5257.711797675314
88,18731.576694771367,5140.546305891917,5140.546301711856,5140.549301777268
89,18849.477654942886,5022.645586601729,5022.645579220742,5022.649357505942
90,18968.12071155593,4904.002961503508,4904.002948662219,4904.009578030616
91,19087.510535540503,4784.613899654023,4784.61387764167,4784.624734661811
92,19207.651827226447,4664.473935127285,4664.473897949261,4664.488454940804
93,19328.54931652869,4543.57872449234,4543.5786626239205,4543.596009149989
94,19450.207763133312,4421.92413549778,4421.92403405653,4421.9565103326
95,19572.631956685032,4299.506381396159,4299.5062175172425,4299.554372104173
96,19695.826716975607,4176.3222206381115,4176.321959786048,4176.381805958296
97,19819.796894133808,4052.3692481966327,4052.3688390977404,4052.4441050768323
98,19944.547368816227,3927.646312483514,3927.645680326208,3927.78001755203
99,20070.083052399452,3802.154100416044,3802.153137951267,3802.331264867561
100,20196.40888717348,3675.895942109388,3675.8944983083093,3676.0929081558625
101,20323.529846536123,3548.8788949560767,3548.8767609645583,3549.1828911322627
102,20451.45093518906,3421.1151731187542,3421.112065406207,3421.5642201630585
103,20580.177189334685,3292.623990864532,3292.6195317172605,3293.142287189369
104,20709.713676874457,3163.4338844772783,3163.4275803406817,3163.958561881273
105,20840.065497608426,3033.5855652362184,3033.5767838669926,3034.5392513279303
106,20971.237783435874,2903.1353327327606,2903.123280661741,2904.3053451200485
107,21103.235698557586,2772.1590416501904,2772.142744039138,2773.2517160004754
108,21236.064439679005,2640.756565042178,2640.734850581932,2642.406097739916
109,21369.729236214862,2509.0566336076267,2509.0281275636517,2511.3016756986526
110,21504.235350495088,2377.221855981865,2377.18498474676,2379.372051513764
111,21639.58807797186,2245.4536445497642,2245.4066550044627,2247.6486210066714
112,21775.792747428288,2113.9966921356304,2113.9376886563623,2117.6194145450954
113,21912.85472118805,1983.1425767617418,1983.0695777765904,1986.771773600299
114,22050.77939532661,1853.2320256104683,1853.1430401923099,1855.1391590042883
115,22189.572199883474,1724.6553567852086,1724.5484799241203,1729.5151373024278
116,22329.23859907622,1597.8506485582063,1597.724171616137,1603.1004083888588
117,22469.78409151546,1473.2992675289809,1473.1517981522193,1475.8899953659572
118,22611.21421042135,1351.5185216436835,1351.3491053586113,1356.8880624714348
119,22753.534523841492,1233.0513872360445,1232.8596213791388,1239.6002215872766
120,22896.75063486996,1118.4534800854085,1118.2396099040416,1121.5741433789808
121,23040.868181868154,1008.2776811908603,1008.042668123282,1013.1857950112822
122,23185.892838686603,903.0570654280604,902.8026188550084,910.2366227868276
123,23331.830314888426,803.2869894261133,803.0155555665642,806.6394641994298
124,23478.686355973965,709.4073480526712,709.1220529878792,713.3235633182093
125,23626.466743607212,621.7860848105752,621.4906325500742,628.9519802901058
126,23775.17729584328,540.7050254120531,540.4035560400716,544.0493426256352
127,23924.82386735749,466.3489908272127,466.04590760458086,469.5510955902186
128,24075.412349675906,398.79894244044266,398.49871981565775,405.59140705825314
129,24226.94867140713,338.029634856813,337.73662126926865,341.2291411665305
130,24379.43879847595,283.91192785111514,283.6301577401091,287.0968856375819
131,24532.888734358035,236.21957039243114,235.95259888884812,242.46544522816808
132,24687.304520316364,194.6399508748663,194.39072236953962,197.5530840097985
133,24842.69223563908,158.78804029139081,158.55879873960657,162.33733771477173
134,24999.057997878674,128.22256411631506,128.01480897142483,133.69225471380196
135,25156.407963093086,102.46333950948288,102.27782706130301,104.86687280660324
136,25314.748326087887,81.00871138872643,80.84549748684503,84.67660548676629
137,25474.08532066027,63.35210719647278,63.210624261791054,67.72967864511716
138,25634.425219844266,48.996889708560694,48.8760488525204,50.67608385025483
139,25795.774336158018,37.46889733415492,37.36720543724982,40.68790891976633
140,25958.139021852083,28.32629625238812,28.24197797495208,31.40803954743431
141,26121.525669159586,21.16660302288247,21.097718774408463,22.68501300632135
142,26285.94071054793,15.630948008683507,15.575500639412326,17.987311945865716
143,26451.39061897183,11.405822669498761,11.361847776765558,13.260042447332212
144,26617.881908128453,8.222677842018504,8.188314811790974,9.535622226936244
145,26785.42113271366,5.855812613794817,5.829355592807758,7.297224137020939
146,26954.014888680176,4.119017339812326,4.098947068099761,5.044737041766654
147,27123.66981349704,2.8614172360908148,2.8464159537591343,3.7037459066130323
148,27294.392586411246,1.962915012943336,1.9518674536722358,2.700681187106272
149,27466.189928710493,1.3295633432095146,1.321547169522347,1.746880322390248
150,27639.068603987846,0.8891212283630038,0.8833902242570773,1.3246130648251055
151,27813.03541840807,0.5869715375794157,0.5829345525049234,0.8996879575802761
152,27988.097220975396,0.3825069178034957,0.3797050580631556,0.6022927768606596
153,28164.260903803435,0.2460322390388359,0.24411622599515326,0.4323652273659036
154,28341.533402386347,0.15618581058016487,0.15489484888936644,0.26136811380980435
155,28519.921695871923,0.0978489707356411,0.09699195051014442,0.19143903281318778
156,28699.432807336412,0.06049314829251042,0.059932576021432205,0.12619132707756167
157,28880.073804060805,0.03690312635703083,0.0365418537986586,0.07913074960397387
158,29061.851797809377,0.02221266025967338,0.021983256165850396,0.05527855395969427
159,29244.773945109475,0.013191473431843416,0.01304794756735883,0.03127622697225636
160,29428.847447533317,0.007728898882747516,0.007640423591876111,0.022444041200916077
161,29614.079551981566,0.004467361474166214,0.004413624073804467,0.014006778806938734
162,29800.47755096843,0.0025472554226956116,0.0025150970456459254,0.008560333264329036
163,29988.048782909074,0.0014327213975595626,0.0014137598226090231,0.0056989118881616745
164,30176.800632408333,0.0007948768249060751,0.0007838609864463247,0.0030958220239876095
165,30366.74053055153,0.0004349794520593149,0.00042867389415776613,0.0021567412749025467
166,30557.875955196843,0.00023477474990114494,0.00023121849977799855,0.0012117497301703827
167,30750.21443127,0.00012497742323245052,0.00012300125483503954,0.0007699266006086624
168,30943.763531060347,6.561360390955459e-05,6.453162691294739e-05,0.0004689906799045088
169,31138.53087451904,3.3972207358734925e-05,3.338852695019016e-05,0.00026170241942270224
170,31334.52412955886,1.7346317847986378e-05,1.7036079846592883e-05,0.00016848062889677497
171,31531.751012356388,8.734363420234407e-06,8.571892408404305e-06,8.52700725420313e-05
172,31730.21928765559,4.336938373583602e-06,4.253103071707055e-06,5.711669246512923e-05
173,31929.936769073567,2.1234933055473233e-06,2.0808720438152584e-06,2.8786108376133553e-05
174,32130.911319408217,1.0252350756073417e-06,1.0038846233131503e-06,1.8463178647630132e-05
175,32333.15085094757,4.880774945933395e-07,4.775407196393948e-07,1.0104809573736252e-05
176,32536.66332578165,2.2910776112876272e-07,2.239829311797149e-07,5.7314254165247705e-06
177,32741.456756115673,1.0603707699925544e-07,1.0358277591756457e-07,3.3179429489752957e-06
178,32947.53920458558,4.8388017711951294e-08,4.723010630215179e-08,1.7174218230677003e-06
179,33154.918784575486,2.176978726276969e-08,2.123245083894895e-08,1.0342089780917283e-06
180,33363.6036605369,9.65726411850828e-09,9.41071513639928e-09,4.987218258457631e-07
